date,steps
2022-06-18,3538
2022-06-19,7074
2022-06-20,5334
2022-06-21,7459
2022-06-22,6113
2022-06-23,7140
2022-06-24,19025
2022-06-25,6170
2022-06-26,7529
2022-06-27,10735
2022-06-28,12298
2022-06-29,8114
2022-06-30,13620
2022-07-01,8412
2022-07-02,8339
2022-07-03,7118
2022-07-04,12434
2022-07-05,13600
2022-07-06,10371
2022-07-07,9626
2022-07-08,10881
2022-07-09,6628
2022-07-10,8946
2022-07-11,0
2022-07-12,0
2022-07-13,0
2022-07-14,0
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,0
2022-07-20,0
2022-07-21,0
2022-07-22,0
2022-07-23,0
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,3991
2022-07-28,4442
2022-07-29,6301
2022-07-30,6043
2022-07-31,5032
2022-08-01,6031
2022-08-02,4926
2022-08-03,5988
2022-08-04,5622
2022-08-05,8957
2022-08-06,9145
2022-08-07,2840
2022-08-08,5061
2022-08-09,3937
2022-08-10,4661
2022-08-11,8153
2022-08-12,6503
2022-08-13,8954
2022-08-14,4264
2022-08-15,10049
2022-08-16,8814
2022-08-17,8240
2022-08-18,5789
2022-08-19,8037
2022-08-20,6421
2022-08-21,7593
2022-08-22,5901
2022-08-23,10204
2022-08-24,6419
2022-08-25,9635
2022-08-26,4518
2022-08-27,5466
2022-08-28,10910
2022-08-29,5802
2022-08-30,8898
2022-08-31,6930
2022-09-01,8574
2022-09-02,6809
2022-09-03,5855
2022-09-04,8088
2022-09-05,1844
2022-09-06,5729
2022-09-07,5221
2022-09-08,8711
2022-09-09,6099
2022-09-10,7632
2022-09-11,5584
2022-09-12,9333
2022-09-13,4333
2022-09-14,8711
2022-09-15,7497
2022-09-16,6404
2022-09-17,6926
2022-09-18,6109
2022-09-19,5588
2022-09-20,10360
2022-09-21,8664
2022-09-22,2632
2022-09-23,8237
2022-09-24,11290
2022-09-25,3990
2022-09-26,11279
2022-09-27,7592
2022-09-28,6573
2022-09-29,16568
2022-09-30,9127
2022-10-01,6162
2022-10-02,7517
2022-10-03,11612
2022-10-04,9655
2022-10-05,3632
2022-10-06,4592
2022-10-07,10941
2022-10-08,11177
2022-10-09,5897
2022-10-10,8466
2022-10-11,10685
2022-10-12,5017
2022-10-13,9808
2022-10-14,9279
2022-10-15,9624
2022-10-16,10059
2022-10-17,5614
2022-10-18,11628
2022-10-19,10488
2022-10-20,5896
2022-10-21,11525
2022-10-22,10070
2022-10-23,8759
2022-10-24,11313
2022-10-25,12204
2022-10-26,8803
2022-10-27,7597
2022-10-28,16949
2022-10-29,9994
2022-10-30,4716
2022-10-31,14323
2022-11-01,5763
2022-11-02,6042
2022-11-03,6919
2022-11-04,7726
2022-11-05,8621
2022-11-06,9809
2022-11-07,10960
2022-11-08,5044
2022-11-09,8884
2022-11-10,6241
2022-11-11,5593
2022-11-12,7504
2022-11-13,5694
2022-11-14,10924
2022-11-15,5698
2022-11-16,6171
2022-11-17,6528
2022-11-18,10065
2022-11-19,4316
2022-11-20,4102
2022-11-21,9313
2022-11-22,10726
2022-11-23,7635
2022-11-24,7469
2022-11-25,3583
2022-11-26,7385
2022-11-27,11894
2022-11-28,7445
2022-11-29,10651
2022-11-30,5108
2022-12-01,10703
2022-12-02,5940
2022-12-03,8983
2022-12-04,8042
2022-12-05,11647
2022-12-06,5097
2022-12-07,4813
2022-12-08,6211
2022-12-09,5982
2022-12-10,8771
2022-12-11,8094
2022-12-12,8771
2022-12-13,10208
2022-12-14,6110
2022-12-15,6564
2022-12-16,7411
2022-12-17,3503
2022-12-18,3665
2022-12-19,8266
2022-12-20,7232
2022-12-21,6833
2022-12-22,1679
2022-12-23,4385
2022-12-24,1609
2022-12-25,3176
2022-12-26,3651
2022-12-27,3681
2022-12-28,4436
2022-12-29,7720
2022-12-30,5781
2022-12-31,501
2023-01-01,173
2023-01-02,2831
2023-01-03,4086
2023-01-04,6158
2023-01-05,6601
2023-01-06,5779
2023-01-07,2422
2023-01-08,12723
2023-01-09,8664
2023-01-10,6099
2023-01-11,6336
2023-01-12,6366
2023-01-13,5875
2023-01-14,7645
2023-01-15,5281
2023-01-16,7161
2023-01-17,5099
2023-01-18,105
